Aircraft Name,Capacity,Range (nm),Speed (km/h),Cargo Capacity (kg),Fuel Burn per 100 km per seat (L),CO₂ Emission Factor (kg CO₂/L),Fuel Efficiency (L/km),Operating Cost per Hour (USD/hr),Turnaround Time (min)
Boeing 737-800,162-189,5665,842,20865,2.4,2.5,0.024,3200,35
Boeing 737 MAX 8,178-210,6570,839,20865,2.3,2.5,0.023,3100,35
Boeing 747-8,410-524,14320,910,76700,3.9,2.5,0.039,14500,90
Boeing 767-300ER,218-269,11070,850,45000,3.1,2.5,0.031,8500,70
Airbus A319,140-160,6950,840,17700,2.5,2.5,0.025,5000,40
Airbus A350-900,300-350,8100,945,53300,2.2,2.5,0.022,6800,60
Airbus A350-1000,410-440,16100,910,56000,2.3,2.5,0.023,7200,75
Airbus A220,100-160,6300,828,12000,2.1,2.5,0.021,4200,30
Airbus A321,185-240,7400,840,25300,2.4,2.5,0.024,5200,45
Airbus A300,250-300,9600,800,38000,3.0,2.5,0.03,9000,80
Boeing 787-8,242-290,13530,910,43318,2.3,2.5,0.023,6500,55
Boeing 777-200ER,314-396,14800,905,54000,3.2,2.5,0.032,8500,85
Boeing 787-9,290-335,7355,954,52587,2.3,2.5,0.023,7000,50
Boeing 787-10,318-318,11910,910,27000,2.4,2.5,0.024,7500,60
Embraer E170,66-78,4600,780,9100,1.8,2.5,0.018,2800,25
Bombardier CRJ900,76-90,2500,780,10319,1.7,2.5,0.017,2700,20
Embraer E195,100-124,4800,830,13933,1.9,2.5,0.019,3000,30
Airbus A380,500-853,15200,903,84000,4.0,2.5,0.04,17000,100
Airbus A320,140-240,6300,840,23000,2.4,2.5,0.024,5000,40
Airbus A318,107-132,5700,780,10000,2.3,2.5,0.023,4600,35
